# Energy Distribution Data
# Bin Centers (GeV), Muon Mean, Muon Std
0.3218413411523054, 6.947444197119918, 6.738740679845938
0.33326779223858904, 4.902908687737972, 4.592296954966375
0.34509992080545926, 4.485606722666593, 4.242309724271578
0.3573521297691855, 4.251594030479028, 4.204602971585629
0.3700393333980523, 4.028355107458495, 4.028355107458495
0.3831769754670771, 5.3116718564406575, 5.136375781250378
0.39678104805728137, 4.696071819562394, 4.653750355223601
0.41086811102240045, 3.907130214764371, 3.825389361555397
0.4254553121467256, 4.514328366777937, 4.277513531053794
0.4405604080186184, 3.708870620622765, 3.556407034063207
0.45620178564510444, 3.5188709500308915, 3.4820618986329017
0.4723984848338585, 3.5802702470706818, 3.432233835612975
0.4891702213698251, 3.4575167623158554, 3.2458994522222167
0.5065374110146873, 4.018084967401365, 3.913176977701752
0.5245211943583972, 4.918716159316183, 4.562311925194553
0.54314346255302, 3.48338656692309, 3.328801672384053
0.5624268839602153, 2.701357678722029, 2.671500722280997
0.5823949317447947, 3.790054299267267, 3.5834775678396364
0.6030719124479426, 3.8977774982829607, 3.6658576392101057
0.624482995574883, 3.029671992313541, 2.863907852764956
0.6466542442330082, 3.1917778597798314, 3.0836332413898164
0.6696126468577647, 2.9539132508985766, 2.853602391750589
0.6933861500649129, 2.3151821113076676, 2.242528417659072
0.7180036926691549, 2.6350541935737364, 2.5415039506035915
0.7434952409105371, 2.776045610121033, 2.7082885322609247
0.7698918249315085, 2.569163103788506, 2.5219519692570205
0.7972255765490377, 2.3372460105757846, 2.231928547930178
0.8255297683677669, 2.7432579512069735, 2.5298049344663878
0.8548388542818149, 2.146189244999331, 2.067613710480498
0.885188511414531, 2.072604797293863, 2.0156936825681506
0.9166156835472492, 2.6270255457221348, 2.433223573215518
0.9491586260899123, 2.2047347884803337, 2.1310567176599164
0.9828569526483024, 2.041644013573476, 2.0245587653789974
1.0177516832445654, 1.7744796122161266, 1.6919823034318684
1.053885294249727, 2.1488497025145015, 2.0984269271070244
1.0913017700889804, 2.02263798651298, 1.912394198133485
1.130046656782687, 1.6235134578341317, 1.6086535802575068
1.1701671173882597, 1.347370682682245, 1.2876081278866987
1.211711989410425, 1.6560404049066515, 1.6006069186577092
1.254731844249737, 1.3251021758796993, 1.269367417259081
1.2992790487617185, 1.3899859417708063, 1.310313382959941
1.345407829001555, 1.363635557724306, 1.3261918444939607
1.3931743362319429, 1.1111190354994933, 1.0488694453418916
1.4426367152744373, 1.2121186904503316, 1.1520033956361213
1.4938551752875018, 1.0746123435625736, 1.005317215000817
1.5468920630574188, 1.1860206662648554, 1.103749339380274
1.6018119388912742, 1.306422428200335, 1.1501388755141835
1.6586816552043961, 1.1060868428312742, 1.0538016251245403
1.717570437897916, 1.0514733907660976, 1.0009808289852442
1.7785499706255026, 0.8058908527874514, 0.7665710823970431
1.8416944820518526, 0.6070428020967831, 0.5796891528254501
1.9070808362091494, 0.8718287475772923, 0.7962906713639212
1.974788626061481, 0.885485617567853, 0.842968776134662
2.044900270391109, 0.5747566676531572, 0.5501212046643631
2.1175011141245275, 0.8258068505607405, 0.776920507250838
2.192679532220433, 0.862861450370429, 0.785017741876463
2.2705270372460715, 0.8837789555711892, 0.8246125868816266
2.351138390772899, 0.6583970262370686, 0.6143686156465024
2.434611718727174, 0.7064701816034125, 0.62606026263881
2.521048630835878, 0.5912816676449165, 0.5258158788804724
2.6105543443133663, 0.6039517511834911, 0.5707310171897929
2.7032378119393163, 0.5090134727966279, 0.45727390614511465
2.7992118546838736, 0.604210873564959, 0.5269271840363123
2.898593299041435, 0.6230538146946547, 0.5392738126144819
3.0015031192402417, 0.6303437198653284, 0.5776745039172515
3.1080665845008975, 0.5718388653666766, 0.5317811308813156
3.218413411523054, 0.4809769059544558, 0.44967137836335896
3.3326779223858907, 0.5332988397188687, 0.4804248976305478
3.4509992080545917, 0.46517403049875916, 0.4178852342497753
3.5735212976918542, 0.4492250296355204, 0.384643982042991
3.7003933339805224, 0.4260760209811873, 0.36824719720225674
3.83176975467077, 0.41146753817498094, 0.3888345155767901
3.967810480572814, 0.3612362938124855, 0.3179599522751956
4.108681110224006, 0.2860577478666785, 0.2737966198853323
4.254553121467257, 0.27624994483267995, 0.24698668205272833
4.405604080186185, 0.29931236587481996, 0.2628021462548367
4.562017856451044, 0.27648271750242787, 0.2491917006931218
4.723984848338585, 0.23059367692997523, 0.21637487181964896
4.8917022136982515, 0.2578487076981316, 0.2435526255946399
5.065374110146873, 0.15845968885526557, 0.14133863726801907
5.245211943583972, 0.2459358079658101, 0.21181429334210009
5.4314346255301995, 0.2480593464324004, 0.2145811211303498
5.624268839602154, 0.2191667550661274, 0.20076136062706723
5.823949317447948, 0.1722751954212398, 0.15089758733805042
6.030719124479425, 0.14735500298386867, 0.13064818448107723
6.244829955748829, 0.17902607227307232, 0.16446724574013633
6.4665424423300815, 0.13742376896274303, 0.13482696315416404
6.696126468577647, 0.10702584242386044, 0.09052787033242816
6.9338615006491295, 0.15710164326730625, 0.14741448411416014
7.180036926691551, 0.13574521603258558, 0.12366665260262164
7.434952409105374, 0.13494666160310612, 0.13268809234110251
7.698918249315088, 0.10797931885487887, 0.1036170553700941
7.972255765490378, 0.12585170826177422, 0.12374535900886206
8.255297683677668, 0.05555965470798928, 0.05352552394504092
8.54838854281815, 0.10060262085934303, 0.09274506740745975
8.851885114145311, 0.09391490487737905, 0.08380550028561264
9.166156835472492, 0.07505787273491799, 0.07322587757303294
9.491586260899123, 0.06342387747683148, 0.05605607039478977
9.828569526483024, 0.06999922332251918, 0.06829069850307132
